,id,latitude,longitude,room_type,price,host_class,distance,reviews
0,46352,44.49163,11.33398,Private room,3.7376696182833684,multi,0.760516459225842,2.639057329615259
1,59697,44.48817,11.34124,Private room,3.912023005428146,multi,0.6519534973082589,0.0
2,85368,44.47888,11.35625,Entire home/apt,4.787491742782046,single,1.9740547791294771,1.0986122886681096
3,219878,44.48787,11.35392,Entire home/apt,4.941642422609304,multi,1.0970499597480274,1.9459101490553132
4,229114,44.51072,11.34957,Entire home/apt,4.499809670330265,single,1.9407827399573736,1.6094379124341003
5,246747,44.49884,11.34315,Private room,4.219507705176107,single,0.5490866829770483,0.0
6,266777,44.49544,11.33114,Entire home/apt,4.442651256490317,single,0.9587268270138304,0.0
7,374610,44.48921,11.35713,Entire home/apt,4.174387269895637,multi,1.2389044158260942,0.0
8,383256,44.49984,11.34307,Entire home/apt,4.382026634673881,multi,0.6601054884516081,2.0794415416798357
9,411523,44.4931,11.35442,Entire home/apt,4.382026634673881,multi,0.9126946351355393,1.0986122886681096
10,570880,44.49239,11.33567,Entire home/apt,5.0106352940962555,single,0.6067008109859654,0.0
11,584370,44.49084,11.31162,Private room,4.418840607796598,multi,2.519071625635435,1.0986122886681096
12,648513,44.4937,11.34051,Entire home/apt,4.382026634673881,multi,0.19929790504521058,1.0986122886681096
13,670725,44.46969,11.37699,Private room,4.553876891600541,multi,3.814489301251087,0.0
14,684271,44.51693,11.34565,Entire home/apt,4.700480365792417,single,2.5678736381855436,0.0
15,690226,44.49007,11.35267,Entire home/apt,5.075173815233827,multi,0.8790779032022812,1.9459101490553132
16,724304,44.49383,11.35173,Entire home/apt,4.700480365792417,single,0.6944291377327777,1.0986122886681096
17,732525,44.49228,11.31329,Private room,4.804021044733257,multi,2.369999823090233,0.6931471805599453
18,742415,44.50522,11.36354,Entire home/apt,5.634789603169249,multi,2.0618093080027013,0.6931471805599453
19,787769,44.49862,11.34679,Entire home/apt,4.499809670330265,single,0.6049623794578303,2.4849066497880004
20,793706,44.48753,11.34114,Entire home/apt,4.0943445622221,multi,0.7231614218622464,1.3862943611198906
21,804596,44.4988,11.33933,Entire home/apt,4.382026634673881,multi,0.6178172660975902,1.9459101490553132
22,840951,44.49442,11.33176,Entire home/apt,4.418840607796598,single,0.8958891017185856,1.0986122886681096
23,842573,44.48589,11.34867,Entire home/apt,4.174387269895637,single,0.9978569512010503,0.0
24,860436,44.50986099243164,11.349018096923828,Private room,7.3777589082278725,multi,1.837108488573125,0.0
25,884148,44.49756,11.34428,Entire home/apt,4.248495242049359,multi,0.4192657423863082,0.0
26,944794,44.51419,11.2841,Entire home/apt,3.8066624897703196,single,5.198455129881992,2.1972245773362196
27,952460,44.48727,11.35021,Entire home/apt,4.248495242049359,single,0.9336670641147042,2.4849066497880004
28,953017,44.48837,11.32102,Private room,4.382026634673881,single,1.853216267682343,0.0
29,967061,44.49807,11.34507,Entire home/apt,4.248495242049359,multi,0.4917704743986706,2.0794415416798357
30,981083,44.46947,11.37668,Private room,4.787491742782046,multi,3.814409768350736,0.6931471805599453
31,981727,44.49084,11.32876,Private room,4.477336814478207,business,1.182617018035967,0.0
32,993645,44.48874,11.31987,Private room,5.19295685089021,multi,1.9271159310204575,2.4849066497880004
33,1002365,44.54373,11.24921,Entire home/apt,4.700480365792417,multi,9.287872557368546,0.6931471805599453
34,1007486,44.54531,11.24846,Entire home/apt,4.382026634673881,multi,9.440926924130146,0.0
35,1023596,44.49749,11.33207,Entire home/apt,4.382026634673881,multi,0.9565090008947492,0.0
36,1027489,44.49243,11.36684,Entire home/apt,4.499809670330265,multi,1.9032883689238906,0.0
37,1029853,44.519380008926845,11.341218516898037,Entire home/apt,4.204692619390966,single,2.8350092512476004,2.0794415416798357
38,1076605,44.5015,11.37022,Private room,4.59511985013459,single,2.3238486006437316,0.6931471805599453
39,1116883,44.52287,11.27813,Private room,3.4011973816621555,single,6.080535185462633,0.6931471805599453
40,1142503,44.48715,11.34036,Entire home/apt,4.07753744390572,single,0.7789332911297671,2.833213344056216
41,1149912,44.51927,11.27655,Private room,3.4011973816621555,single,5.989235256287983,0.0
42,1181594,44.49849,11.34012,Entire home/apt,4.31748811353631,single,0.5591382257519645,2.0794415416798357
43,1189302,44.49807,11.34507,Entire home/apt,4.248495242049359,multi,0.4917704743986706,0.0
44,1199947,44.49807,11.34507,Entire home/apt,4.248495242049359,multi,0.4917704743986706,0.6931471805599453
45,1222983,44.49991,11.33958,Private room,6.214608098422191,multi,0.7211298583158542,0.0
46,1250727,44.49995,11.33833,Private room,6.214608098422191,multi,0.7680860084057077,0.0
47,1250790,44.49802,11.33887,Private room,6.214608098422191,multi,0.5634862561209704,0.0
48,1289329,44.493347,11.352334,Entire home/apt,4.0943445622221,business,0.7449698753788513,0.0
49,1364242,44.5038,11.29537,Private room,3.5553480614894135,single,3.9446488092754155,0.0
50,1391869,44.48934,11.33218,Entire home/apt,4.382026634673881,single,0.9987490113660444,1.6094379124341003
51,1408005,44.49725,11.34464,Entire home/apt,4.499809670330265,single,0.39446028925235965,2.772588722239781
52,1435627,44.49321,11.33569,Entire home/apt,4.07753744390572,single,0.5864738772579079,2.8903717578961645
53,1451862,44.48831,11.31969,Private room,5.3471075307174685,multi,1.9554467335336272,0.0
54,1470008,44.49105,11.33268,Entire home/apt,4.31748811353631,single,0.8798474391085517,1.0986122886681096
55,1491202,44.49264,11.36851,Entire home/apt,4.836281906951478,multi,2.033921513168964,0.0
56,1566003,44.49809646606445,11.345027923583984,Entire home/apt,4.007333185232471,multi,0.4934386922519425,3.044522437723423
57,1571942,44.51842,11.33839,Private room,3.5553480614894135,single,2.749336090293552,1.0986122886681096
58,1577979,44.49107,11.33563,Private room,3.6375861597263857,multi,0.6652495506698582,2.4849066497880004
59,1588677,44.4946,11.33089,Entire home/apt,4.248495242049359,single,0.9663571435379688,0.6931471805599453
60,1676504,44.4901393,11.3381074,Entire home/apt,3.9512437185814275,multi,0.5710507511598495,0.6931471805599453
61,1739565,44.49384,11.34731,Entire home/apt,4.941642422609304,multi,0.3428826023994352,1.9459101490553132
62,1782703,44.49756,11.34679,Entire home/apt,4.867534450455582,single,0.5062504525527439,0.0
63,1791860,44.50556,11.37477,Entire home/apt,4.382026634673881,single,2.839605138392518,0.0
64,1853123,44.49336,11.35232,Hotel room,5.634789603169249,multi,0.7437420744757931,0.0
65,1863235,44.47649,11.38409,Entire home/apt,4.6913478822291435,single,3.7984417560103436,1.6094379124341003
66,1872453,44.51449,11.35782,Entire home/apt,5.0106352940962555,single,2.5737744367115556,1.0986122886681096
67,1949394,44.49815,11.34859,Private room,3.4965075614664802,single,0.648637165609673,0.0
68,2099619,44.49622,11.32639,Entire home/apt,4.31748811353631,multi,1.3460486794573594,2.0794415416798357
69,2212785,44.50636,11.30745,Entire home/apt,4.174387269895637,multi,3.1481608777719603,0.0
70,2219937,44.50452,11.30869,Private room,3.4657359027997265,single,2.9730147807110345,1.9459101490553132
71,2250424,44.49384,11.34731,Entire home/apt,4.8283137373023015,multi,0.3428826023994352,0.6931471805599453
72,2273362,44.496986,11.349187,Entire home/apt,5.099866427824199,single,0.5998050058488398,0.6931471805599453
73,2280311,44.49868,11.33677,Private room,4.127134385045092,multi,0.7264171116553787,2.0794415416798357
74,2282623,44.49445,11.367172,Entire home/apt,3.912023005428146,single,1.923611115408211,1.9459101490553132
75,2322428,44.4991989,11.3204346,Entire home/apt,4.442651256490317,single,1.8888893707163577,1.791759469228055
76,2329387,44.51604,11.27732,Entire home/apt,4.31748811353631,single,5.773570141454546,2.639057329615259
77,2330299,44.49948,11.35101,Private room,4.74493212836325,multi,0.8890303279458708,1.3862943611198906
78,2349486,44.50618,11.35748,Entire home/apt,4.442651256490317,multi,1.7856130600909912,1.3862943611198906
79,2359237,44.49091,11.37744,Entire home/apt,4.553876891600541,single,2.7595208478600948,1.3862943611198906
80,2378587,44.501881,11.351547,Entire home/apt,4.574710978503383,business,1.1174424933761877,1.791759469228055
81,2390692,44.48787,11.35473,Entire home/apt,4.382026634673881,multi,1.1487395556302955,1.791759469228055
82,2409234,44.5147,11.28499,Entire home/apt,4.59511985013459,business,5.15989269518781,0.0
83,2423689,44.50521469116211,11.363539695739746,Entire home/apt,5.459585514144159,multi,2.0614303083046743,0.0
